CountyName,POWPUMA12
Anderson,1800
Andrews,3200
Angelina,4000
Aransas,6500
Archer,600
Armstrong,100
Atascosa,6100
Austin,5000
Bailey,400
Bandera,6100
Bastrop,5100
Baylor,600
Bee,6500
Bell,3500
Bexar,5900
Blanco,6000
Borden,2800
Bosque,3700
Bowie,1100
Brazoria,4800
Brazos,3602
Brewster,3200
Briscoe,100
Brooks,6900
Brown,2600
Burleson,3601
Burnet,3400
Caldwell,5100
Calhoun,5600
Callahan,2600
Cameron,6700
Camp,1300
Carson,100
Cass,1100
Castro,100
Chambers,4400
Cherokee,1700
Childress,100
Clay,600
Cochran,400
Coke,2800
Coleman,2600
Collin,1900
Collingsworth,100
Colorado,5000
Comal,5800
Comanche,2600
Concho,2800
Cooke,800
Coryell,3400
Cottle,600
Crane,3200
Crockett,2800
Crosby,400
Culberson,3200
Dallam,100
Dallas,2300
Dawson,2800
Deaf Smith,100
Delta,1000
Denton,2000
DeWitt,5500
Dickens,400
Dimmit,6200
Donley,100
Duval,6400
Eastland,2600
Ector,3100
Edwards,6200
Ellis,2101
El Paso,3300
Erath,2200
Falls,3700
Fannin,800
Fayette,5100
Fisher,2600
Floyd,400
Foard,600
Fort Bend,4900
Franklin,1000
Freestone,3700
Frio,6100
Gaines,3200
Galveston,4700
Garza,400
Gillespie,6000
Glasscock,2800
Goliad,5500
Gonzales,5500
Gray,100
Grayson,800
Gregg,1600
Grimes,3601
Guadalupe,5700
Hale,400
Hall,100
Hamilton,3400
Hansford,100
Hardeman,600
Hardin,4200
Harris,4600
Harrison,1200
Hartley,100
Haskell,2600
Hays,5400
Hemphill,100
Henderson,1800
Hidalgo,6800
Hill,3700
Hockley,400
Hood,2200
Hopkins,1000
Houston,3900
Howard,2800
Hudspeth,3200
Hunt,900
Hutchinson,100
Irion,2800
Jack,600
Jackson,5500
Jasper,4100
Jeff Davis,3200
Jefferson,4300
Jim Hogg,6400
Jim Wells,6900
Johnson,2102
Jones,2600
Karnes,5500
Kaufman,1400
Kendall,6000
Kenedy,6900
Kent,2600
Kerr,6000
Kimble,2800
King,400
Kinney,6200
Kleberg,6900
Knox,2600
Lamar,1000
Lamb,400
Lampasas,3400
La Salle,6200
Lavaca,5500
Lee,5100
Leon,3601
Liberty,4400
Limestone,3700
Lipscomb,100
Live Oak,6400
Llano,3400
Loving,3200
Lubbock,500
Lynn,400
McCulloch,2800
McLennan,3800
McMullen,6400
Madison,3601
Marion,1200
Martin,2800
Mason,2800
Matagorda,5000
Maverick,6200
Medina,6100
Menard,2800
Midland,3000
Milam,3601
Mills,3400
Mitchell,2600
Montague,600
Montgomery,4500
Moore,100
Morris,1000
Motley,400
Nacogdoches,4000
Navarro,3700
Newton,4100
Nolan,2600
Nueces,6600
Ochiltree,100
Oldham,100
Orange,4200
Palo Pinto,2200
Panola,1700
Parker,2400
Parmer,100
Pecos,3200
Polk,3900
Potter,200
Presidio,3200
Rains,1300
Randall,300
Reagan,2800
Real,6200
Red River,1000
Reeves,3200
Refugio,6500
Roberts,100
Robertson,3601
Rockwall,900
Runnels,2600
Rusk,1700
Sabine,4100
San Augustine,4100
San Jacinto,3900
San Patricio,6500
San Saba,3400
Schleicher,2800
Scurry,2600
Shackelford,2600
Shelby,4100
Sherman,100
Smith,1500
Somervell,2200
Starr,6400
Stephens,2600
Sterling,2800
Stonewall,2600
Sutton,2800
Swisher,100
Tarrant,2500
Taylor,2700
Terrell,3200
Terry,400
Throckmorton,2600
Titus,1000
Tom Green,2900
Travis,5300
Trinity,3900
Tyler,4100
Upshur,1200
Upton,2800
Uvalde,6200
Val Verde,6200
Van Zandt,1300
Victoria,5600
Walker,3900
Waller,5000
Ward,3200
Washington,3601
Webb,6300
Wharton,5000
Wheeler,100
Wichita,700
Wilbarger,600
Willacy,6900
Williamson,5200
Wilson,5500
Winkler,3200
Wise,600
Wood,1300
Yoakum,400
Young,600
Zapata,6400
Zavala,6200
