PUMA12,POWPUMA12
100,100
200,200
300,300
400,400
501,500
502,500
600,600
700,700
800,800
900,900
1000,1000
1100,1100
1200,1200
1300,1300
1400,1400
1501,1500
1502,1500
1600,1600
1700,1700
1800,1800
1901,1900
1902,1900
1903,1900
1904,1900
1905,1900
1906,1900
1907,1900
2001,2000
2002,2000
2003,2000
2004,2000
2005,2000
2006,2000
2101,2101
2102,2102
2200,2200
2301,2300
2302,2300
2303,2300
2304,2300
2305,2300
2306,2300
2307,2300
2308,2300
2309,2300
2310,2300
2311,2300
2312,2300
2313,2300
2314,2300
2315,2300
2316,2300
2317,2300
2318,2300
2319,2300
2320,2300
2321,2300
2322,2300
2400,2400
2501,2500
2502,2500
2503,2500
2504,2500
2505,2500
2506,2500
2507,2500
2508,2500
2509,2500
2510,2500
2511,2500
2512,2500
2513,2500
2514,2500
2515,2500
2516,2500
2600,2600
2700,2700
2800,2800
2900,2900
3000,3000
3100,3100
3200,3200
3301,3300
3302,3300
3303,3300
3304,3300
3305,3300
3306,3300
3400,3400
3501,3500
3502,3500
3601,3601
3602,3602
3700,3700
3801,3800
3802,3800
3900,3900
4000,4000
4100,4100
4200,4200
4301,4300
4302,4300
4400,4400
4501,4500
4502,4500
4503,4500
4504,4500
4601,4600
4602,4600
4603,4600
4604,4600
4605,4600
4606,4600
4607,4600
4608,4600
4609,4600
4610,4600
4611,4600
4612,4600
4613,4600
4614,4600
4615,4600
4616,4600
4617,4600
4618,4600
4619,4600
4620,4600
4621,4600
4622,4600
4623,4600
4624,4600
4625,4600
4626,4600
4627,4600
4628,4600
4629,4600
4630,4600
4631,4600
4632,4600
4633,4600
4634,4600
4635,4600
4636,4600
4637,4600
4638,4600
4701,4700
4702,4700
4801,4800
4802,4800
4803,4800
4901,4900
4902,4900
4903,4900
4904,4900
4905,4900
5000,5000
5100,5100
5201,5200
5202,5200
5203,5200
5204,5200
5301,5300
5302,5300
5303,5300
5304,5300
5305,5300
5306,5300
5307,5300
5308,5300
5309,5300
5400,5400
5500,5500
5600,5600
5700,5700
5800,5800
5901,5900
5902,5900
5903,5900
5904,5900
5905,5900
5906,5900
5907,5900
5908,5900
5909,5900
5910,5900
5911,5900
5912,5900
5913,5900
5914,5900
5915,5900
5916,5900
6000,6000
6100,6100
6200,6200
6301,6300
6302,6300
6400,6400
6500,6500
6601,6600
6602,6600
6603,6600
6701,6700
6702,6700
6703,6700
6801,6800
6802,6800
6803,6800
6804,6800
6805,6800
6806,6800
6807,6800
6900,6900
